Rk,Age,Name, Pos, GP, G, A, P, PIM, +/-, PPG, SHG, GWG, G/GP, A/GP, P/GP,
372,21,Todd Warriner,F,57,7,8,15,26,-11,1,0,0,0.123,0.140,0.263,
373,25,Antti Tormanen,F,50,7,8,15,28,-15,0,0,0,0.140,0.160,0.300,
374,27,Benoit Brunet,F,26,7,8,15,17,-4,3,1,4,0.269,0.308,0.577,
375,27,Valeri Zelepukin,F,61,6,9,15,107,-10,3,0,1,0.098,0.148,0.246,
376,29,Eric Weinrich,D,77,5,10,15,65,14,0,0,0,0.065,0.130,0.195,
377,29,Brent Hughes,F,76,5,10,15,148,-9,0,0,0,0.066,0.132,0.197,
378,25,Paul Kruse,F,75,3,12,15,145,-5,0,0,0,0.040,0.160,0.200,
379,25,Jon Klemm,D,56,3,12,15,20,12,0,1,1,0.054,0.214,0.268,
380,31,Bob Sweeney,F,72,7,7,14,65,-20,0,1,1,0.097,0.097,0.194,
381,20,Dave Roche,F,71,7,7,14,130,-5,0,0,1,0.099,0.099,0.197,
382,31,Dean Evason,F,67,7,7,14,38,-6,1,0,1,0.104,0.104,0.209,
383,21,Andrei Nazarov,F,42,7,7,14,62,-15,2,0,1,0.167,0.167,0.333,
384,30,Wayne Presley,F,80,6,8,14,85,3,1,1,2,0.075,0.100,0.175,
385,35,Glenn Anderson,F,32,6,8,14,33,-11,2,0,1,0.188,0.250,0.438,
386,25,Kevin Haller,D,69,5,9,14,92,18,0,2,2,0.072,0.130,0.203,
387,37,Craig MacTavish,F,68,5,9,14,70,-9,0,0,1,0.074,0.132,0.206,
388,35,Doug Lidster,D,59,5,9,14,50,11,0,0,0,0.085,0.153,0.237,
389,23,Trent McCleary,F,75,4,10,14,68,-15,0,1,0,0.053,0.133,0.187,
390,25,Chris Tamer,D,70,4,10,14,153,20,0,0,1,0.057,0.143,0.200,
391,32,Rick Zombo,D,67,4,10,14,53,-7,0,0,1,0.060,0.149,0.209,
392,28,Gary Shuchuk,F,33,4,10,14,12,3,0,0,0,0.121,0.303,0.424,
393,24,David Sacco,F,23,4,10,14,18,1,2,0,0,0.174,0.435,0.609,
394,30,Jeff Beukeboom,D,82,3,11,14,220,19,0,0,1,0.037,0.134,0.171,
395,37,Kjell Samuelsson,D,75,3,11,14,81,20,0,0,1,0.040,0.147,0.187,
396,27,Peter Popovic,D,76,2,12,14,69,21,0,0,0,0.026,0.158,0.184,
397,23,Jean-Francois Jomphe,F,31,2,12,14,39,7,2,0,0,0.065,0.387,0.452,
398,31,Tommy Albelin,D,73,1,13,14,18,1,0,0,0,0.014,0.178,0.192,
399,25,Rob Gaudreau,F,52,8,5,13,15,-19,1,1,0,0.154,0.096,0.250,
400,26,Tie Domi,F,72,7,6,13,297,-3,0,0,1,0.097,0.083,0.181,
401,24,Pavel Bure,F,15,6,7,13,8,-2,1,1,0,0.400,0.467,0.867,
402,26,Adam Burt,D,78,4,9,13,121,-4,0,0,1,0.051,0.115,0.167,
403,29,Terry Carkner,D,73,3,10,13,80,10,1,0,0,0.041,0.137,0.178,
404,29,Mark Tinordi,D,71,3,10,13,113,26,2,0,0,0.042,0.141,0.183,
405,23,Scott Lachance,D,55,3,10,13,54,-19,1,0,0,0.055,0.182,0.236,
406,25,David Roberts,F,34,3,10,13,18,-7,1,0,1,0.088,0.294,0.382,
407,22,Ville Peltonen,F,31,2,11,13,14,-7,0,0,0,0.065,0.355,0.419,
408,26,Jon Rohloff,D,79,1,12,13,59,-8,1,0,0,0.013,0.152,0.165,
409,21,Aaron Gavey,F,73,8,4,12,56,-6,1,1,2,0.110,0.055,0.164,
410,28,Bill Huard,F,51,6,6,12,176,3,0,0,0,0.118,0.118,0.235,
411,28,Jocelyn Lemieux,F,67,5,7,12,45,-19,0,0,0,0.075,0.104,0.179,
412,19,Mathieu Dandenault,D,34,5,7,12,6,6,1,0,0,0.147,0.206,0.353,
413,32,Ron Sutter,F,18,5,7,12,24,10,0,1,0,0.278,0.389,0.667,
414,22,Scott Walker,F,63,4,8,12,137,-7,0,1,1,0.063,0.127,0.190,
415,20,Mike Wilson,D,58,4,8,12,41,13,1,0,1,0.069,0.138,0.207,
416,31,Michel Petit,D,54,4,8,12,135,-11,0,0,1,0.074,0.148,0.222,
417,20,Stanislav Neckar,D,82,3,9,12,54,-16,1,0,0,0.037,0.110,0.146,
418,28,Jamie Huscroft,D,70,3,9,12,162,14,0,0,1,0.043,0.129,0.171,
419,26,Igor Ulanov,D,64,3,9,12,116,11,0,0,1,0.047,0.141,0.188,
420,29,Dana Murzyn,D,69,2,10,12,130,9,0,0,0,0.029,0.145,0.174,
421,27,Glen Featherstone,D,68,2,10,12,138,10,0,0,1,0.029,0.147,0.176,
422,30,Craig Berube,F,50,2,10,12,151,1,1,0,1,0.040,0.200,0.240,
423,31,David Shaw,D,66,1,11,12,64,5,0,0,0,0.015,0.167,0.182,
424,24,Ken Klee,D,66,8,3,11,60,-1,0,1,2,0.121,0.045,0.167,
425,23,Jan Caloun,F,11,8,3,11,0,4,2,0,0,0.727,0.273,1.000,
426,24,Darren Langdon,F,64,7,4,11,175,2,0,0,1,0.109,0.063,0.172,
427,32,Mike Eagles,F,70,4,7,11,75,-1,0,0,0,0.057,0.100,0.157,
428,30,J.J. Daigneault,D,57,4,7,11,53,-6,2,0,0,0.070,0.123,0.193,
429,24,Oleg Petrov,F,36,4,7,11,23,-9,0,0,2,0.111,0.194,0.306,
430,30,Mike Peluso,F,57,3,8,11,146,4,0,0,0,0.053,0.140,0.193,
431,28,Murray Baron,D,82,2,9,11,190,3,0,0,0,0.024,0.110,0.134,
432,26,Luke Richardson,D,82,2,9,11,108,-27,0,0,0,0.024,0.110,0.134,
433,25,Francois Leroux,D,66,2,9,11,161,2,0,0,0,0.030,0.136,0.167,
434,19,Ryan Smyth,F,48,2,9,11,28,-10,1,0,0,0.042,0.188,0.229,
435,32,Kevin Dineen,F,46,2,9,11,117,-1,0,0,0,0.043,0.196,0.239,
436,32,Magnus Svensson,D,27,2,9,11,21,-1,2,0,1,0.074,0.333,0.407,
437,24,Dmitri Yushkevich,D,69,1,10,11,54,-14,1,0,0,0.014,0.145,0.159,
438,26,Dave Archibald,F,44,6,4,10,18,-14,0,0,1,0.136,0.091,0.227,
439,24,Rob Pearson,F,27,6,4,10,54,4,1,0,1,0.222,0.148,0.370,
440,20,Michal Gro?ek,F,23,6,4,10,31,-1,2,0,1,0.261,0.174,0.435,
441,24,Joe Dziedzic,F,69,5,5,10,68,-5,0,0,3,0.072,0.072,0.145,
442,36,Charlie Huddy,D,64,5,5,10,65,-12,2,0,1,0.078,0.078,0.156,
443,32,Bobby Carpenter,F,52,5,5,10,14,-10,0,1,0,0.096,0.096,0.192,
444,28,Rob Cowie,D,46,5,5,10,32,-16,2,0,0,0.109,0.109,0.217,
445,26,Vladimir Tsyplakov,F,23,5,5,10,4,1,0,0,0,0.217,0.217,0.435,
446,19,Richard Park,F,56,4,6,10,36,3,0,1,1,0.071,0.107,0.179,
447,30,Shane Churla,F,55,4,6,10,231,-8,0,0,0,0.073,0.109,0.182,
448,30,Joe Reekie,D,78,3,7,10,149,7,0,0,0,0.038,0.090,0.128,
449,28,Chris Luongo,D,74,3,7,10,55,-23,1,0,0,0.041,0.095,0.135,
450,29,Marc Bureau,F,65,3,7,10,46,-3,0,0,1,0.046,0.108,0.154,
451,31,John Tucker,F,63,3,7,10,18,-8,0,1,0,0.048,0.111,0.159,
452,26,Sheldon Kennedy,F,41,3,7,10,36,3,0,0,1,0.073,0.171,0.244,
453,26,Geoff Smith,D,31,3,7,10,20,-4,2,0,0,0.097,0.226,0.323,
454,25,Christer Olsson,D,26,2,8,10,14,-6,2,0,0,0.077,0.308,0.385,
455,30,Gerald Diduck,D,79,1,9,10,88,7,0,0,0,0.013,0.114,0.127,
456,30,Marc Bergevin,D,70,1,9,10,33,7,0,0,0,0.014,0.129,0.143,
457,22,Martin Lapointe,F,58,6,3,9,93,0,1,0,0,0.103,0.052,0.155,
458,36,Pat Conacher,F,55,6,3,9,18,-13,0,1,2,0.109,0.055,0.164,
459,22,Sami Kapanen,F,35,5,4,9,6,0,0,0,0,0.143,0.114,0.257,
460,25,Dane Jackson,F,22,5,4,9,41,3,0,0,1,0.227,0.182,0.409,
461,21,Steve Sullivan,F,16,5,4,9,8,3,2,0,1,0.313,0.250,0.563,
462,29,Nick Kypreos,F,61,4,5,9,107,1,0,0,1,0.066,0.082,0.148,
463,21,Sergei Brylin,F,50,4,5,9,26,-2,0,0,1,0.080,0.100,0.180,
464,27,Claude Lapointe,F,35,4,5,9,20,1,0,2,1,0.114,0.143,0.257,
465,25,Paul Laus,D,78,3,6,9,236,-2,0,0,0,0.038,0.077,0.115,
466,27,Rob Ray,F,71,3,6,9,287,-8,0,0,0,0.042,0.085,0.127,
467,36,Brad McCrimmon,D,58,3,6,9,62,15,0,1,0,0.052,0.103,0.155,
468,23,Kirk Maltby,F,55,3,6,9,67,-16,0,0,1,0.055,0.109,0.164,
469,27,Franti?ek Kucera,D,54,3,6,9,20,2,0,0,1,0.056,0.111,0.167,
470,22,Rene Corbet,F,33,3,6,9,33,10,0,0,0,0.091,0.182,0.273,
471,23,Dody Wood,F,32,3,6,9,138,0,0,1,0,0.094,0.188,0.281,
472,27,Mark Janssens,F,81,2,7,9,155,-13,0,0,0,0.025,0.086,0.111,
473,26,Jayson More,D,74,2,7,9,147,-32,0,0,0,0.027,0.095,0.122,
474,29,Brent Severyn,D,65,1,8,9,180,3,0,0,0,0.015,0.123,0.138,
475,32,Steve Smith,D,37,0,9,9,71,12,0,0,0,0.000,0.243,0.243,
476,28,Warren Rychel,F,52,6,2,8,147,6,0,0,1,0.115,0.038,0.154,
477,24,Dan Plante,F,73,5,3,8,50,-22,0,2,0,0.068,0.041,0.110,
478,26,Peter White,F,27,5,3,8,0,-14,1,0,0,0.185,0.111,0.296,
479,25,Paul DiPietro,F,20,4,4,8,4,-3,1,0,0,0.200,0.200,0.400,
480,26,Ed Ward,F,41,3,5,8,44,-2,0,0,0,0.073,0.122,0.195,
481,24,Kent Manderville,F,37,3,5,8,38,-5,0,2,0,0.081,0.135,0.216,
482,27,Dean Chynoweth,D,49,2,6,8,128,-5,0,0,0,0.041,0.122,0.163,
483,26,Michel Picard,F,17,2,6,8,10,-1,0,0,1,0.118,0.353,0.471,
484,33,Craig Muni,D,72,1,7,8,106,-6,0,0,0,0.014,0.097,0.111,
485,31,Jim Kyte,D,57,1,7,8,146,-12,0,0,0,0.018,0.123,0.140,
486,23,Darius Kasparaitis,D,46,1,7,8,93,-12,0,0,0,0.022,0.152,0.174,
487,20,Vlastimil Kroupa,D,27,1,7,8,18,-17,0,0,0,0.037,0.259,0.296,
488,34,Jamie Macoun,D,82,0,8,8,87,2,0,0,0,0.000,0.098,0.098,
489,26,Ken Sutton,D,38,0,8,8,43,-13,0,0,0,0.000,0.211,0.211,
490,25,Denny Lambert,F,33,0,8,8,55,-2,0,0,0,0.000,0.242,0.242,
491,21,Brandon Convery,F,11,5,2,7,4,-7,3,0,1,0.455,0.182,0.636,
492,29,Todd Ewen,F,53,4,3,7,285,-5,0,0,1,0.075,0.057,0.132,
493,25,Gino Odjick,F,55,3,4,7,181,-16,0,0,0,0.055,0.073,0.127,
494,26,Scott Daniels,F,53,3,4,7,254,-4,0,0,0,0.057,0.075,0.132,
495,21,Chris Murray,F,48,3,4,7,163,5,0,0,1,0.063,0.083,0.146,
496,24,Sean O'Donnell,D,71,2,5,7,127,3,0,0,0,0.028,0.070,0.099,
497,25,Doug Zmolek,D,58,2,5,7,87,-5,0,0,0,0.034,0.086,0.121,
498,27,Rob Conn,F,28,2,5,7,18,-9,0,0,0,0.071,0.179,0.250,
499,32,Mike Donnelly,F,24,2,5,7,10,-2,0,0,0,0.083,0.208,0.292,
500,28,Dave McLlwain,F,19,2,5,7,6,-5,0,0,1,0.105,0.263,0.368,
501,23,Andrei Vasilyev,F,10,2,5,7,2,4,0,0,1,0.200,0.500,0.700,
502,28,Donald Dufresne,D,45,1,6,7,20,-4,0,0,0,0.022,0.133,0.156,
503,25,Clayton Beddoes,F,39,1,6,7,44,-5,0,0,0,0.026,0.154,0.179,
504,28,Lance Pitlick,D,28,1,6,7,20,-8,0,0,0,0.036,0.214,0.250,
505,28,Dennis Vaske,D,19,1,6,7,21,-13,1,0,1,0.053,0.316,0.368,
506,18,Aki-Petteri Berg,D,51,0,7,7,29,-13,0,0,0,0.000,0.137,0.137,
